국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
스노우화이트(사파이어),Aglaonema 'Lady Valentine',Chinese Evergreen 'First Diamond',"아글라오네마는 잎에 진한 녹색과 흰색, 붉은색, 분홍색 등의 색상과 무늬가 다양하여 각 품종마다 다른 매력이 있다. 이 식물은 빛이 잘 안 드는 실내에서도 잘 견디어 가정과 공공건물에서 많이 사용한다. 단, 저온에 약해서 13℃ 이상을 유지해야 한다.","봄~가을(5월~9월)까지 생장기에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 건조에 강하기 때문에 15℃ 이하에서는 물을 주지 않는다. 여름철 건조기에는 식물에 분무를 자주 하여 공중습도를 높이면 좋다.",직사광선을 피하고 잎에 자주 분무한다. 가지치기를 하지 않으면 웃자라 주변 식물 생장에 영향을 준다.,천남성과,21~24℃ (최저 13℃),음지~반음지,보통,"포름알데히드·자일렌 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,식물 모든 부분,아글라오네마속 식물은 빛이 잘 안 드는 곳에서도 잘 자라고 음이온 발생량이 많아서 공부 방에 배치하면 좋다.,▶ 잎이 시들거나 갈변하였을 때: 공기가 너무 건조할 경우 ▶ 말린 잎이나 가장자리가 갈변할 때 원인: 공기가 너무 차갑거나 건조할 경우,
아글라오네마 엔젤,Aglaonema 'First Diamond',Chinese Evergreen 'Lady Valentine',"아글라오네마는 잎에 진한 녹색과 흰색, 붉은색, 분홍색 등의 색상과 무늬가 다양하여 각 품종마다 다른 매력이 있다. 이 식물은 빛이 잘 안 드는 실내에서도 잘 견디어 가정과 공공건물에서 많이 사용한다. 단, 저온에 약해서 13℃ 이상을 유지해야 한다.","봄~가을(5월~9월)까지 생장기에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 건조에 강하기 때문에 15℃ 이하에서는 물을 주지 않는다. 여름철 건조기에는 식물에 분무를 자주 하여 공중습도를 높이면 좋다.",직사광선을 피하고 잎에 자주 분무한다. 가지치기를 하지 않으면 웃자라 주변 식물 생장에 영향을 준다.,천남성과,21~24℃ (최저 13℃),음지~반음지,보통,"포름알데히드·자일렌 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,식물 모든 부분,아글라오네마속 식물은 빛이 잘 안 드는 곳에서도 잘 자라고 음이온 발생량이 많아서 공부 방에 배치하면 좋다.,▶ 잎이 시들거나 갈변하였을 때: 공기가 너무 건조할 경우 ▶ 말린 잎이나 가장자리가 갈변할 때 원인: 공기가 너무 차갑거나 건조할 경우,
시암오로라,Aglaonema 'Siam Valentine',Chinese Evergreen 'Siam Valentine',"아글라오네마는 잎에 진한 녹색과 흰색, 붉은색, 분홍색 등의 색상과 무늬가 다양하여 각 품종마다 다른 매력이 있다. 이 식물은 빛이 잘 안 드는 실내에서도 잘 견디어 가정과 공공건물에서 많이 사용한다. 단, 저온에 약해서 13℃ 이상을 유지해야 한다.","봄~가을(5월~9월)까지 생장기에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 건조에 강하기 때문에 15℃ 이하에서는 물을 주지 않는다. 여름철 건조기에는 식물에 분무를 자주 하여 공중습도를 높이면 좋다.",직사광선을 피하고 잎에 자주 분무한다. 가지치기를 하지 않으면 웃자라 주변 식물 생장에 영향을 준다.,천남성과,21~24℃ (최저 13℃),음지~반음지,보통,"포름알데히드·자일렌 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,식물 모든 부분,아글라오네마속 식물은 빛이 잘 안 드는 곳에서도 잘 자라고 음이온 발생량이 많아서 공부 방에 배치하면 좋다.,▶ 잎이 시들거나 갈변하였을 때: 공기가 너무 건조할 경우 ▶ 말린 잎이나 가장자리가 갈변할 때 원인: 공기가 너무 차갑거나 건조할 경우,
거북알로카시아,Alocasiaxmortfontanensis,Elephant's Ear,"곧은 줄기와 화살 모양의 큰 잎과 잎의 면, 엽맥이 아름답 고 화려해 이국적으로 보이는 관엽식물이다. 반면 거북알 로카시아는 다른 식물들보다 기르기가 까다로워 따뜻한 온 도, 높은 습도를 지속적으로 유지해야 한다. 독성이 있으므 로 주의한다.","봄~가을에는 토양을 촉촉하게 유지하되 물에 잠기지 않게 주의하고, 겨울에는 토양 표면이 말랐을 때 충분히 물을 준 다.",과습에 주의하되 잎에 자주 분무한다. 가지치기를 하지 않 으면 웃자라 주변 식물 생장에 영향을 준다. 2~3년에 한 번 은 분갈이한다.,천남성과,18~25℃ (최저 13℃),반양지,높은편,공기정화,"응애, 깍지벌레",상,식물 모든 부분,"알로카시아/콜로카시아 구별법: 형태가 다르다. 콜로카시아는 과서(꽃이 피는 순서에 따라 형성되는 열매의 배열 상태)가 하 수형 또는 비스듬히 자라고, 열매가 3mm이하이며 황색 또는 갈색이다. 한 과실당 작은 종 자가 무수히 많다. 알로카시아는 과서가 직립하고, 열매가 4mm이상이며 적색이다. 한 과실 당 큰 종자가 몇 개씩 있다.",,
알로에 베라,Aloe vera,"Medicinal, Babados Aloe","뾰족한 잎이 당당하게 뻗어 멋지게 보이는 알로에 베라는 공기정화식물뿐 아니라 약용식물로도 유명하다. 아주 오래전 부터 민간의학에서 약용으로 널리 사용되어 왔고, 화장품의 주성분으로 사용된다. 유지관리가 쉽고 병충해에 대한 저항 력이 강해 식물을 처음 접하는 사람이 키우기가 좋다. 대부분의 알로에 품종은 성숙하기 전에는 꽃을 피우지 않고, 밑동 부분에서 돋아나오는 수많은 새순이나 어린잎들을 잘 라서 꺾꽂이하면 쉽게 번식할 수 있다.","봄~가을에는 다른 실내식물과 같이 적당히 물을 주고, 겨울 에는 적게 준다. 분무하지 않는다.",배수가 잘되는 일반적인 배양토를 사용한다.,백합과,18~24℃ (최저 4℃),"반양지, 반음지",낮게,공기정화,병충해에 강함,하,,"다육식물로 난초과, 브로멜리아류 식물과 마찬가지로 밤에 이산화탄소를 흡수하므로 침실 에 두면 좋다.",,
홍학꽃(안스리움),Anthurium andraeanum Linden ex André,"Flamingo flower, Lily Flamingo","열대지방이 원산지인 홍학꽃은 따뜻하고 습한 곳을 좋아하 는 기르기가 꽤 까다로운 식물이다. 육수화서를 둘러싼 넓은 잎모양의 불염포는 흰색, 분홍색, 빨간색, 산호색 등 색상이 다양하다. 이 불염포는 여러 주 동안 볼 수 있지만 꽃은 꽃가 루가 날릴 수 있으므로 제거하는 것이 좋다. 여름에는 직사광선을 피하는 것이 좋다. 또한 날이 추워지면 창가에 두지 않도록 한다. 비료는 봄·가을에 주고, 겨울에는 주지 않는다.",화분흙이 대부분 말랐을 때 충분히 물을 준다. 물주기가 까다로운 편이며 많이 주지 않도록 주의한다. 수분 을 좋아하고 건조한 공기를 매우 힘들어한다.,직사광선을 피하고 잎에 자주 분무한다.,천남성과,18~24℃ (최저 13℃),반양지,보통,"암모니아 제거, 일산화탄소 제거, 포름알데히드· 톨루엔 제거, 음이온 발생, 상대습도 증가",응애,중,식물 모든 부분,일산화탄소와 암모니아가스 제거능력이 좋아 햇빛이 잘 드 는 주방 또는 화장실에 두면 좋다.,,
아펠란드라 스쿠아로사,Aphelandra squarrosa 'Louisae',"Saffron spike, Zebra plant",원산지는 열대 아메리카와 아열대 아메리카로 약 80여 종이 난다. 잎은 광택이 나는 진녹색 바탕에 은백색의 줄무늬 엽 맥이 나타나며 줄기 끝에 선명한 황금색의 포가 나오며 포 의 기부에서 통꽃이 핀다. 개화기는 1∼2월이나 환경 조건만 맞으면 연중 개화한다.,"봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 건조할 때 잎에 자주 분무한다. 매년 분갈이를 한다.,쥐꼬리망초과,18~32℃ (최저 13℃),반양지,높거나 보통,일산화탄소 제거,"응애, 깍지벌레, 온실가루이",상,,,▶ 잎이 떨어질 때 : 1) 뿌리가 건조할 경우. 건조는 잎 손실의 심각한 원인이 될 수 있음 2) 차가운 공기는 낙엽화의 또 다른 흔한 원인임 3) 너무 많은 햇빛과 가뭄이 원인일 수 있음 ▶ 잎 끝이 갈변할 때 : 공중 습도가 너무 낮은 경우. 화분흙에 물을 주고 정기적으로 분무,
아라우카리아 헤테로필라(아라우카리아),Araucaria heterophylla,House pine,"아라우카리아 헤테로필라는 송곳모양의 부드러운 바늘잎이 달린 가지가 수평으로 자라는 우아한 형태의 상록침엽수이 다. 15종 이상의 품종이 있으나 실내식물로 도입된 종은 아 라우카리아 헤테로필라 하나뿐이다. 한 번의 생육기를 거치 는 동안 새로 나오는 가지는 한 층으로 생장이 느린 편이며 새로 자란 층의 잎은 밝은 녹색이나 기간이 지나면 점점 짙 어진다. 반음지~반양지에서 잘 자라고 직사광선을 받으면 잎이 누렇게 탄다. 자생지에서는 키가 61m까지도 자라지만, 실내에서 기를 경우 최고 높이가 3m 정도이다. 일반 화분재배, 수경재배, 저면관수 모두 가능하다.","왕성하게 생육하는 봄~여름에는 토양이 촉촉하도록 물을 주 고, 겨울에는 적게 준다. 분무는 자주 해주는 것이 좋다.",어두운 곳에 오래두면 모양이 흐트러지므로 주의한다.,아라우카리아과,18~22℃ (최저 5℃),반양지~반음지,보통,"공기정화, 음이온 발생, 상대습도 증가","진딧물, 깍지벌레",하,,겨울철에 크리스마스 트리로 사용하는 경우가 많은데 장식을 매달 때 가지가 상하지 않도 록 주의한다.,"▶ 바늘잎이 떨어지고 가지가 시들었을 때 : 실내가 너무 덥거나, 겨울에 물을 너무 많이 준 것일 수 있음",
백량금,Ardisia crenata,Coralberry,"우리나라 제주도를 비롯하여 서남해안 도서 지방 숲속에서 자라는 상록관목 자생식물이다. 높이는 0.3~1m이며, 6~8월 에 흰색 꽃이 피고, 10~12월에 둥근 열매가 붉은색으로 열린 다. 자금우에 비해 곧게 자라고, 잎 가장자리에 물결모양으 로 톱니가 있다. 부식질이 풍부하고 보수력이 좋은 토양이 적합하다.",토양 표면이 말랐을 때 충분히 물을 준다.,건조하면 깍지벌레나 진딧물이 줄기나 잎의 뒷면에 발생할 수 있으므로 물을 자주 분무하여 건조하지 않게 한다. 실내에서 빛이 부족해도 적응하지만 꽃과 열매를 보기 위해 서는 밝은 빛이 필요하다.,자금우과,16~20℃ (최저 5℃),반음지~반양지,보통,포름알데히드·일산화탄소 제거,"응애, 깍지벌레, 진딧물, 온실가루이",중,,백량금은 포름알데히드와 일산화탄소 제거능력이 우수하여 거실에 배치하면 좋다. 어느 광 도에도 잘 자라지만 햇빛을 좋아하는 편이라 창가나 밝은 곳에 두면 열매가 많이 열린다.,,
자금우,Ardisia japonica,Marlberry,"자금우는 한국이 원산지로 중국, 일본, 타이완에 분포한다. 꽃은 양성화로 7~8월에 줄기 끝에 잎겨드랑이에서 피며, 10~12월에 탐스런 붉은 열매가 달려서 겨울철 실내정원과 크리스마스 시즌에 포인트로 많이 장식한다. 자금우는 잎에 무늬가 있는 품종들도 함께 분화로 많이 사 용하며, 정원에서 지피식물로 사용할 수 있다. 자금우'하쿠 오칸'(Ardisia japonica 'Hakuokan')은 잎 전체가 녹색이고, 잎 가장자리는 크림색인 무늬종으로 '무늬산호수'로 유통된 다. 자금우'호우칸'은 잎 전체가 연한 녹색에 가장자리는 진 한 녹색인 무늬종으로 시장에서는 '황금산호수'로 불린다.","잎에 자주 분무하고, 토양표면이 말랐을 때 물을 충분히 준다.","고온건조, 직사광선을 피하고 온도와 습도관리에 유의한다.",자금우과,15~25℃ (최저 5℃),"반양지, 반음지","보통, 잎에 자주 분무","음이온 발생, 상대습도 증가, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,,"음이온을 배출하여 전자파를 잡아주고 집중력 향상에 도움을 주기 때문에 서재, 공부방에 놓아 활용한다.",,
무늬산호수,Ardisia japonica 'Hakuokan',Marlberry,"자금우는 한국이 원산지로 중국, 일본, 타이완에 분포한다. 꽃은 양성화로 7~8월에 줄기 끝에 잎겨드랑이에서 피며, 10~12월에 탐스런 붉은 열매가 달려서 겨울철 실내정원과 크리스마스 시즌에 포인트로 많이 장식한다. 자금우는 잎에 무늬가 있는 품종들도 함께 분화로 많이 사 용하며, 정원에서 지피식물로 사용할 수 있다. 자금우'하쿠 오칸'(Ardisia japonica 'Hakuokan')은 잎 전체가 녹색이고, 잎 가장자리는 크림색인 무늬종으로 '무늬산호수'로 유통된 다. 자금우'호우칸'은 잎 전체가 연한 녹색에 가장자리는 진 한 녹색인 무늬종으로 시장에서는 '황금산호수'로 불린다.","잎에 자주 분무하고, 토양표면이 말랐을 때 물을 충분히 준다.","고온건조, 직사광선을 피하고 온도와 습도관리에 유의한다.",자금우과,15~25℃ (최저 5℃),"반양지, 반음지","보통, 잎에 자주 분무","음이온 발생, 상대습도 증가, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,,"음이온을 배출하여 전자파를 잡아주고 집중력 향상에 도움을 주기 때문에 서재, 공부방에 놓아 활용한다.",,
황금산호수,Ardisia japonica 'Houkan',Marlberry,"자금우는 한국이 원산지로 중국, 일본, 타이완에 분포한다. 꽃은 양성화로 7~8월에 줄기 끝에 잎겨드랑이에서 피며, 10~12월에 탐스런 붉은 열매가 달려서 겨울철 실내정원과 크리스마스 시즌에 포인트로 많이 장식한다. 자금우는 잎에 무늬가 있는 품종들도 함께 분화로 많이 사 용하며, 정원에서 지피식물로 사용할 수 있다. 자금우'하쿠 오칸'(Ardisia japonica 'Hakuokan')은 잎 전체가 녹색이고, 잎 가장자리는 크림색인 무늬종으로 '무늬산호수'로 유통된 다. 자금우'호우칸'은 잎 전체가 연한 녹색에 가장자리는 진 한 녹색인 무늬종으로 시장에서는 '황금산호수'로 불린다.","잎에 자주 분무하고, 토양표면이 말랐을 때 물을 충분히 준다.","고온건조, 직사광선을 피하고 온도와 습도관리에 유의한다.",자금우과,15~25℃ (최저 5℃),"반양지, 반음지","보통, 잎에 자주 분무","음이온 발생, 상대습도 증가, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,,"음이온을 배출하여 전자파를 잡아주고 집중력 향상에 도움을 주기 때문에 서재, 공부방에 놓아 활용한다.",,
산호수,Ardisia pusilla,Tiny Ardisia,"제주도에 자생하는 산호수는 키가 20cm를 넘지 않는 덩굴 성으로 추위에 약해서 외부에서 월동이 되지 않는다. 반그늘 진 곳을 좋아하며, 어느 정도 습기유지가 중요하다. 잎에 광 택이 있어 고급스럽지만 독성이 있어 함부로 섭취하면 위험 하니 주의한다.",봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다. 겨울에 는 물주는 횟수를 줄인다,직사광선을 피하고 잎이 타지 않도록 주의한다. 가지치기를 하여 다른 식물을 감싸는 가지를 제거한다. 가지치기를 하지 않으면 안쪽 가지가 무르거나 상할 수 있다.,자금우과,10~26℃ (최저 0℃),반음지,보통,"일산화탄소제거, 음이온 발생, 상대습도 증가, 미세먼지 제거","응애, 깍지벌레, 온실가루이",하,,산호수를 공부방에 두면 음이온과 습도의 발생량이 우수하여 집중력 향상과 습도 조절에 도움을 준다.,,구별 Tip이 있음.
꽃베고니아,Begonia semperflorens,Wax Begonia,"'언제나 꽃이 피는 베고니아'라는 의미의 Begonia semperflorens는 '사철베고니아'라는 이 름으로도 불린다. 꽃 색상은 흰색, 분홍색, 노란색, 주황색 등 다양하고 생육상태가 좋으면 일 년 내내 꽃을 볼 수 있다. 꽃이 피는 식물로 가능한 햇빛을 많이 보는 것이 좋다. 배수가 잘되고 부식질이 많이 포함된 배합토를 사용한다.","봄~여름에는 토양을 촉촉하게 유지하고, 가을에는 토양 표면이 말랐을 때 충분히 물을 주며, 겨울에는 화분흙이 대부분 말랐을 때는 충분히 물을 준다. 일반적으로 다육성이라 물을 많이 주지 않아도 좋다.","시든 잎과 꽃잎은 자주 따 주며 관리한다. 잎의 색이 희미해지면 가능한 햇빛이 덜 드는 곳 으로 옮겨주고, 잎 끝이 갈색으로 변하면 공기가 너무 건조하다는 것이다. 생장속도가 빨 라 식물이 지나치게 무성해지면 통풍이 되지 않아 흰가루병이 발병할 수 있으니 주의한다.",베고니아과,16~24℃ (최저 13℃),양지~반양지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 증산작용","응애, 깍지벌레",중,,녹색 잎을 가진 관엽식물들과 함께 키우면 꽃베고니아의 화려한 색을 디자인으로 활용할 수 있다.,"▶ 곰팡이 균(Botrytis)으로 병든 부분을 자르고 다른 식물과 분리시킨 후 살균제를 분무. 낮은 광도, 과습 상태를 피하 고 환기를 개선해야함 ▶ 잎이 노랗게 되는 원인 : 1) 빛이 너무 적을 경우 2) 물을 너무 많이 주거나 너무 적게 줄 경우 ▶ 잎이 떨어질 때 : 여러 가지 원인이 있을 수 있으므로 다른 증상을 반드시 찾아야 함 1) 줄기가 가늘어 진다면 빛이 충분하지 않은 경우임 2) 잎이 말리고 마른다면 너무 온도가 높은 경우임 3) 잎이 시들고 썩었다면 물을 너무 많이 준 경우임 ▶ 잎 끝이 갈변화 : 공중습도가 너무 낮은 경우 ▶ 잎 색이 연해지고 썩어가고 있을 때 : 과습이 원인일 수 있으므로, 물 주는 양을 조절해야 함 ▶ 잎에 흰색 가루가 반점처럼 있을 때 : 다른 베고니아로부터 분리하여 병든 잎을 잘라내고 살균제를 분무할 것. 지나치게 습하거 나 낮은 온도를 피하고 자주 환기를 해야 함 ▶ 꽃봉오리가 떨어질 때 : 대기 중 공기가 너무 건조하거나 토양이 과습할 경우 ▶ 식물체가 무너질 때 : 몇 가지 문제가 있을 수 있음 1) 과습으로 인한 줄기썩음병 2) 뿌리혹선충 (root knot eelworm) – 뿌리에 부풀어 오른 혹을 찾아봐야 함 3) 바구미류(vine weevil) – 괴경에 벌레로 인하여 터널이 있는지 찾아봐야 함",
얼룩애크메아,Aechmea fasciata,"Vase plant, Urn Plant, Silver Vase plant","얼룩애크메아는 외관이 화려하고 독특하여 시선을 끄는 이 국적인 식물이다. 꽃은 일생에 한번 피는데, 분홍색 포엽이 화려하고, 관상기간이 길다. 로제트형태의 잎은 단단하고 거 친 느낌이며, 은색과 진한 녹색의 줄무늬가 있고 가장자리 에 가시가 있다. 잎들이 로제트형태로 있는 것을 위에서 보 면 물을 담아두는 항아리처럼 보여 영어이름이 'Urn Plant (항아리 식물)'이다. 원래 착생식물로 나뭇가지나 바위 위에 붙어 자란다. 나뭇 가지에 식물체를 붙인 후 수태로 감싸서 철사나 낚시줄로 고정하여 키울 수도 있고, 일반 화분에 심어서 토양에도 키 울 수 있다.",토양표면이 말랐을 때 충분히 물을 준다. 브로맬리아류(Bromeliads)는 식물체 중간에 물이 담겨있어야 꽃이 피는 특징 이 있다.,직사광선 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,파인애플과,12~21℃ (최저 13℃),반양지,보통,공기정화,"응애, 깍지벌레",중,,"파인애플과 식물은 난초과 식물, 다육식물 등과 마찬가지로 밤에 이산화탄소를 흡수하므로 햇빛 이 잘 드는 거실에 두면 좋다.",,
틸란드시아 키아네아,Tillandsia cyanea,"Blue~flowered torch, Pink quill","틸란드시아 키아네아는 에어플랜트(air plant)라 하여 토양 없이 바위나 나무에 붙어 공중에서 수분과 양분을 흡수하 며 자란다. 보통 우리가 아는 틸란드시아 우스네오이데스 (Tillandsia usneoides, 수염틸란드시아) 등과 같이 공중에 걸어서 장식한다. 틸란드시아 키아네아는 폭 1cm, 길이가 30cm인 진한 녹색 의 잎과 그 사이에 올라오는 분홍색 꽃대, 분홍색 포엽사이 로 보라색의 꽃이 핀다. 화려한 분홍색 꽃대는 1개월 이상 유 지되나 보라색 꽃은 오래가지 않는다.",흙에 직접 물을 주는 것보다 잎과 잎 사이의 틈에 고이게 한다.,"반음지에서 잘 자라지만 개화기에는 빛을 많이 받아야 오래 유지되고, 꽃이 잘 핀다.",파인애플과,7~15℃ (최저 3℃),반음지,높은편,포름알데히드·자일렌 제거,"진딧물, 깍지벌레",중,,포름알데히드 및 자일렌 등 새집증후군 원인물 질 제거효과가 탁월하여 거실에 배치하면 좋다.,브로멜리아류(Bromeliads) 문제 발생시 ▶ 옅은 갈색의 반점이 있는 잎이 보일 때: 빛이 너무 과한 경우로 직사광선을 피하고 식 물을 그늘에 둠 ▶ 잎 끝이 갈색으로 변할 때: 공중습도가 너무 건조한 경우. 여름에 자주 분무 ▶ 식물이 죽을 때: 아직 개화 전 식물에 물을 많이 주면 개화 후 식물이 썩고 꽃자루를 품고 죽음,
게발선인장,Zygocactus truncatus,Christmas Cactus,"게발선인장과 가재발선인장은 화려한 꽃을 피우는 매력적 인 실내식물이다. 영명이 크리스마스 선인장과 부활절 선 인장으로 종류가 다르다. 게발선인장(크리스마스 선인장, Christmas Cactus)은 11월 중순부터 1월 말 크리스마스 즈음 에 꽃이 피고, 가재발선인장(부활절 선인장, Easter Cactus) 은 4월이나 5월 부활절 즈음에 꽃이 핀다. 두 식물의 모습은 매우 닮았는데, 게발선인장 잎의 가장자리가 결각이 더 많 고, 가지가 더 늘어진 것을 볼 수 있다. 잎꽂이로 번식한다.",토양의 표면이 약간 마르면 촉촉할 정도로 물은 준다. 분무를 자주 해준다.,"꽃이 피고 난 후에는 시원한 방으로 이동했다가 생육기에 온도, 물, 비료를 점점 증가해서 공 급한다. 용토는 배수가 잘 되도록 마사토를 40%이상 섞고, 매년 분갈이한다.",선인장과,12~27℃ (최저 5℃),반양지,보통,"공기정화, 이산화탄소 흡수","응애, 깍지벌레",중,,잎이 밖으로 늘어져 자라기 때문에 작고 가벼운 화분보다 높이가 있고 묵직한 화분을 추천 한다. 밤에 이산화탄소를 흡수하므로 침실에 놓으면 좋다.,,
가제발선인장,Rhipsalidopsis gaertneri,Easter Cactus,"게발선인장과 가재발선인장은 화려한 꽃을 피우는 매력적 인 실내식물이다. 영명이 크리스마스 선인장과 부활절 선 인장으로 종류가 다르다. 게발선인장(크리스마스 선인장, Christmas Cactus)은 11월 중순부터 1월 말 크리스마스 즈음 에 꽃이 피고, 가재발선인장(부활절 선인장, Easter Cactus) 은 4월이나 5월 부활절 즈음에 꽃이 핀다. 두 식물의 모습은 매우 닮았는데, 게발선인장 잎의 가장자리가 결각이 더 많 고, 가지가 더 늘어진 것을 볼 수 있다. 잎꽂이로 번식한다.",토양의 표면이 약간 마르면 촉촉할 정도로 물은 준다. 분무를 자주 해준다.,"꽃이 피고 난 후에는 시원한 방으로 이동했다가 생육기에 온도, 물, 비료를 점점 증가해서 공 급한다. 용토는 배수가 잘 되도록 마사토를 40%이상 섞고, 매년 분갈이한다.",선인장과,12~27℃ (최저 5℃),반양지,보통,"공기정화, 이산화탄소 흡수","응애, 깍지벌레",중,,잎이 밖으로 늘어져 자라기 때문에 작고 가벼운 화분보다 높이가 있고 묵직한 화분을 추천 한다. 밤에 이산화탄소를 흡수하므로 침실에 놓으면 좋다.,,
