국명(표준명·유통명),학명,영명,식물 특징,물주기 방법,유지 관리 포인트,과명,적절한 온도,적절한 광선,적절한 습도,효과,주의할 병충해,관리난이도,독성주의,Tip,문제 발생시,기타
줄무늬접란(나비란),Chlorophytum comosum 'Vittatum',Spider Plant,"실내 적응력이 매우 뛰어나 햇빛이나 그늘, 건조 등 대부분 의 환경에서 잘 견디는 편으로 기르기 쉽다. 단, 잎의 크림색 무늬를 유지하려면 밝은 빛이 필요하다. 녹색 바탕에 크림색 줄무늬가 있는 15~30cm 정도의 긴 잎들 이 아치 형태로 늘어진다. 가늘고 길게 자라는 줄기 끝에서 작은 하얀 꽃이 피고, 지고 난 후에는 공중에 떠 있는 형태로 어린 식물이 나온다. 이 어린 식물은 그냥 두어도 되고, 모체 로부터 분리하여 번식시킬 수도 있다. 토양과 수경재배 모두 잘 자란다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 분무하는 등 습도유지가 중요하다. 너무 건 조하면 해충이 발생할 수 있다.,백합과,13~24℃ (최저 10℃),반양지~반음지,보통,"공기정화, 포름알데히드 · 일산화탄소 제거, 휘발성 화학물질 제거, 음이온 발생, 상대습도 증가","응애, 진딧물, 깍지벌레",하,,"덩굴성으로 베란다에서 벽과 천장을 타고 올라가도록 키울 수 있다. 걸이화분으로 장식하면 좋고, 위치를 주기적으로 회전시켜야 형태가 예쁘게 자란다. 포름알데히드와 일산화탄소 제거효과가 좋아 거실이나 주방에 배치하면 좋다.","문제 발생시 ▶ 잎 끝이 갈변할 때 : 1) 물이 부족할 경우 2) 온도가 높은 경우로 손상된 잎 끝을 자름 ▶ 겨울에 잎 색이 옅어지고 힘이 없을 때. 일부 노란색잎이 떨어지는 원인 : 온도가 높고 빛 적을 경우 ▶ 겨울철 잎에 갈색 줄무늬가 생길 때 : 휴면기에 낮은 온도에서 물을 많이 주었을 경우. 겨울철에는 물을 적게 줌 ▶ 잎에 갈색 반점이 생기고 가장자리로 말릴 때. 잎의 일부가 노랗게 되거나 잎이 떨어질 때 : 뿌리 주위의 흙이 말라 건조할 경우. 접란은 왕성하게 자랄 때 물을 충분하게 줘야 함 ▶ 줄기가 나오지 않을 때 : 1) 접란이 너무 어릴 때. 식물이 성숙하기 전에는 줄기가 형성되지 않음 2) 성숙한 접란에 줄기가 없다면, 성장할 공간이 부족할 경우이다. 밀식을 피해야 함",
국화,Chrysanthemum morifolium,Pot Chrysanthemum,대표적 단일식물로 다양한 색상의 꽃이 피는 국화는 개화시기를 조정할 수 있어 가을뿐 아니라 일 년 내내 볼 수 있다. 서늘하고 빛이 충분한 장소에 두면 6~8주간 꽃을 볼 수 있고 꽃이 피는 기간에는 실내에 두고 즐기면 좋다. 공기오염물질 을 제거하는 능력과 실내습도 조절능력도 좋다.,생육기 동안에는 뿌리가 약간 축축할 정도로 충분히 물을 준다.,너무 덥거나 건조하면 충해가 발생할 수 있다.,국화과,16~18℃ (최저 ℃),양지~반양지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 진딧물",중,,"꽃 색상이 다양해 밝고 화사한 분위기 연출이 가능하여 사무실, 쇼핑몰 등 상업시설에서 사용하면 좋다.",▶ 잎이 시들 때 : 1) 과습일 경우 2) 아주 잠시라도 건조함에 노출될 때도 잎이 시들고 식물체의 아랫 잎들이 떨어짐 ▶ 꽃눈이 피기 전에 떨어질 때 : 1) 꽃눈이 꽃 색을 띠지 않고 모두 녹색인 것을 구입했을 경우 2) 식물을 충분히 빛을 받을 수 있는 곳에 두지 않았을 경우 ▶ 개화기가 짧을 때 : 너무 따뜻한 곳에 있을 때로 국화가 21~24℃ 의 온도에서는 빨리 꽃이 피고 빨리 시듦,
멕시코담쟁이(엘렌 다니카),Cissus rhombifolia 'Ellen Danica',Venezuela treebine,"멕시코담쟁이 '엘렌 다니카'는 덩굴성으로 성장이 아주 빠 르고 우아한 멋을 가지고 있다. 잎 모양이 얼핏 보면 떡갈나 무 잎처럼 보이기도 하고, 포도 잎처럼 보여 영명을 Oakleaf ivy, Grape ivy라 한다. 관리가 쉬운 편이고 잎이 크게 자라 는 편이라 효과적인 공기정화식물이다. 일반화분과 수경재배 모두 잘 자란다.","봄~가을에는 토양을 촉촉하게 유지하고, 겨울에는 물주는 횟수를 줄인다.",직사광선을 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,포도과,18~24℃ (최저 13℃),반양지~반음지,낮은편,"공기정화, 음이온 발생, 상대습도 증가",응애,하,,"공간이 충분할 경우 격자모양의 구조물인 트렐리스를 설치하면 보기에도 좋고, 더 효과적인 공기 정화가 가능하다. 수경재배를 하면 물주는 횟수도 줄일 수 있고, 관리하기도 편리하다.",,
클루시아 로세아,Clusia rosea,Copey,클루시아 로세아는 잎의 증산이 활발하고 공기정화 능력도 우수한 식물이다. Autograph tree라는 별칭이 있을 정도로 잎에 글씨를 쓸 수 있을 것 같이 윤기가 나고 매끈하다. 웃자 람 없이 키우려면 하루에 적어도 3~4시간 정도 밝은 곳에 두 는 것이 필요하다. 병충해에 강하고 성장속도가 느린 편이어서 관리가 쉬우나 추위에 약하고 환기를 필요로 한다. 가지를 잘라 물꽂이를 하여 번식한다. 꽃과 열매에 독성이 있어 주의해야 한다.,토양표면이 마르면 충분히 물을 주지만 약간 건조한 편으 로 관리한다.,가지치기를 하지 않으면 웃자라 주변 식물에 영향을 준다. 1년에 한번 정도 가지치기를 해서 단정한 수형을 유지하면 좋다. 빛이 부족하면 잎에 윤기가 사라지고 성장이 더디어 진다. 배수가 좋은 흙에 식재해야 하고 환기가 잘 되지 않으면 해충이 생기기 쉬우니 주의한다. 내한성이 약하므로 겨울철 추위에 주의한다.,물레나물과,16~29℃ (최저 10℃),반양지~반음지,낮거나 보통,공기정화,깍지벌레,하,"잎, 열매",햇빛에 강해 거실 창가에 두어도 잘 자란다.,,
크로톤,Codiaeum variegatum,Croton Garden,"잎의 독특한 색감과 무늬가 다른 녹색의 관엽식물 사이에서 포인트가 된다. 크로톤은 강한 직사광선을 피해야 하고, 보 통 양지에서 반음지가 적당하며 빛이 부족하면 선명한 색감 도 옅어진다. 새로 나온 잎은 녹색이나 시간이 지남에 따라 색상이 변한다. 수액에 독성이 있으므로 주의한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",건조할 때 잎에 분무한다. 가지치기를 하지 않으면 웃자라 주변 식물에 영향을 준다.,대극과,21~25℃ (최저 15℃),양지~반음지,높은편,공기정화,"응애, 개각충, 깍지벌레",중,식물 모든 부분,,"▶ 하단 잎이 떨어질 때: 1) 상단에 잎이 갈변화하면, 공기나 토양이 너무 건조하기 때문임 2) 가장자리가 갈변했다면, 온도가 매우 낮기 때문임 ▶ 잎이 변색되었을 때: 빛이 충분하지 않을 때임",
시클라멘,Cyclamen persicum,CyclamenFlorist's,"시클라멘은 괴경인 구근식물로 늦가을부터 초봄까지 우아 하고 화사한 꽃을 피우는 식물이다. 한 줄기 끝에 하나의 꽃 이 피며, 색상도 보라색, 분홍색, 흰색, 빨간색 등으로 다양하 다. 은색과 진한 녹색으로 무늬가 그려진 하트모양의 잎과 그 무성한 잎들 사이에서 꽃대가 솟아올라 피는 꽃이 독특한 화형을 지니고 있고 매우 화려하고 아름답다. 약 15여 종이 있는데 그 중에서 Cyclamen persicum이 실내에서 가장 많 이 이용된다. 원래 산악지대의 산림지역에서 서식하였기 때 문에 시원하고 공기순환이 잘 되는 곳을 좋아한다.","가을~봄에는 토양을 촉촉하게 관리하고 휴면기인 여름에는 약간 습한 상태로 유지한다. 물을 줄 때 잎과 구근에 닿지 않 도록 하고, 아침에 저면관수를 하는 것이 좋다.",생육적온이 20℃ 내외로 여름철 고온기에는 서늘한 곳에 둔다.,앵초과,16~22℃ (최저 7℃),반양지,보통,"공기정화, 음이온 발생, 상대습도 증가","진딧물, 응애, 온실가루이",상,,"시클라멘을 구입할 때 꽃봉오리에 색이 약간 보이 는 것을 고른다. 꽃이 필 때는 난방기 등이 직접 닿지 않는 곳에 두 고, 꽃이 진 뒤에는 서늘하게 보관한다.",▶ 개화기가 짧을 때 : 온도가 높고 공기가 건조하고 적절하지 않은 방 법으로 물을 주었을 경우. 성장기와 개화기에 주 기적으로 비료를 줘야함 ▶ 잎이 뒤틀리고 성장이 저해될 때 : 해충이 생겼는지 확인,
디펜바키아 콤팍타,Dieffenbachia 'Compacta',Dumb Cane,"디펜바키아 '콤팍타'(Dieffenbachia 'Compacta')는 최대 60cm까지 자라는 왜성종으로 녹색과 흰색 또는 녹색과 크 림색의 무늬가 인상적이다. 생장이 너무 빠르고 빛이 비추는 쪽으로 휘는 굴광성을 가지고 있다. 디펜바키아의 모든 종 들의 영명은 'Dumb Cane (말문이 막히는 줄기)'라 불린다. 이는 수액성분인 옥살산칼슘에서 유래되었는데, 디펜바키 아속 식물들은 전 부위에 독성물질을 함유하고 있어 식물의 일부를 떼어내어 입에 넣고 씹으면 일시적으로 혀와 성대가 마비되는 현상이 나타난다. 수형을 위해 전정을 해주면 금방 새로운 잎이 나온다. 전정 시 수액이 나오므로 주의해야 한다. 잎의 표면적이 넓기 때 문에 실내공기를 정화하고 증산율이 좋아 공기 중에 수분을 잘 공급한다. 수경재배에서도 잘 자란다.","토양을 촉촉하게 유지하고, 겨울에는 물주는 횟수를 줄인다. 분무를 자주 해주면 좋다.","일반적으로 환경에 잘 적응하는 편이지만, 너무 어두운 곳에서 키우면 잎 색이 옅어진다. 건 조하지 않게 분무를 자주 해주고 외풍에 약하므로 찬바람을 차단해야 한다.",천남성과,16~27℃ (최저 9℃),반양지~반음지,보통,"포름알데히드· 일산화탄소 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레, 진딧물, 총채벌레",중,식물 모든 부분,"디펜바키아 품종은 포름알데히드와 일산화탄소 제거 효과가 좋고, 상대습도 증가효과가 좋 아 거실에 배치하면 좋은 식물이다.",,
디펜바키아 마리안느,Dieffenbachia 'Marrianne',"Dumb Cane, Dieffenbachia maculata","디펜바키아 '마리안느'는 잎이 크고 꽃처럼 화사하여 실내식 물로 많이 활용하는 식물로 잎의 표면적이 넓기 때문에 공기 를 정화하고 증산율이 좋아 공기 중 수분을 잘 공급한다. 생 장이 빠르고 빛이 비추는 쪽으로 휘는 굴광성을 가지고 있으 며, 전정을 해주면 금방 새로운 잎이 나온다. 디펜바키아속 식물들은 전 부위에 독성물질을 함유하고 있 어 전정 시 수액이 피부에 닿지 않도록 주의해야 한다. 수경 재배에서도 잘 자란다.","토양을 촉촉하게 유지하고, 겨울에는 물주는 횟수를 줄인다. 분무를 자주 해주면 좋다.","일반적으로 환경에 잘 적응하는 편이지만, 너무 어두운 곳에 서 키우면 잎 색이 옅어진다. 건조하지 않게 분무를 자주 해 주고 외풍에 약하므로 찬바람을 차단해야 한다.",천남성과,16~29℃ (최저 8℃),반양지~반음지,보통,"포름알데히드 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레, 진딧물, 총채벌레",중,식물 모든 부분,디펜바키아는 포름알데히드 제거 효과가 가장 우수한 식물이다.,"디펜바키아속(Diffenbachia) 문제 발생시 ▶ 잎 색이 사라질 때 : 직사광선이나 지나친 빛은 잎의 무늬를 흐리게 하므로 차광이 필요함 ▶ 줄기 아래가 물러지고 잎 색이 사라질 때 : 줄기썩음병. 물을 지나치게 많이 주거나 온도가 낮을 경우 손상이 경미할 때는 손상 부위 를 자른 후 카르벤다짐(Carbendazim)을 살포하고 다시 식재함. 손상이 심할 경우 절단 후 에 상부는 삽수로 사용하고, 나머지는 폐기해야 함 ▶ 잎 색이 옅어지고 얼룩이 생길 때, 잎 가장자리가 갈색이 되고 쉽게 부서질 때 : 여름에 큰 식물은 물을 자주 주어야 함 ▶ 잎이 떨어질 때 : 어린잎이 떨어지는 대부분의 이유는 찬바람, 건조한 공중습도, 낮은 온도 때문임. 오래된 잎은 자연적으로 떨어질 수 있음 ▶ 아래쪽 잎이 노랗게 되고 시들 때 : 겨울철 실내온도가 낮거나 찬바람을 맞을 때, 생존할 수 있으나 식물이 힘들어함 ▶ 잎의 가장자리가 갈색으로 변할 때 : 1) 화분의 흙이 지속적으로 젖어 있을 경우 2) 추운 경우도 비슷한 현상을 보일 수 있음",
행운목 마상게아나,Dracaena fragrans 'Massangeana',Corn plant,"행운목으로 알려진 행운목 '마상게아나'는 햇빛을 좋아하지 만 어두운 곳에서도 잘 자라고 식물의 잎 모양이 옥수수 잎 과 닮아 영어 이름은 'Corn plant'다. 성장하면서 줄기는 목 질화되어 나무처럼 딱딱해지고, 잎은 줄기 끝부분에서 자란 다. 실내에서 3m까지 자랄 수 있는데, 줄기 윗부분을 20㎝ 정도 잘라주면, 노화된 나무의 경우 원기 회복에 도움이 된 다. 일반적인 배합토에서 잘 자라고 수경재배도 잘 자란다. 독성이 있어 애완동물에게 해로울 수 있으니 주의한다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 잎에 자주 분무한다. 추위에 약하므로 겨울철 베란다에서 실내로 들여보낸다. 너무 건조하면 해충이 발생한다.,백합과,16~24℃ (최저 13℃),반음지,보통,"포름알데히드·벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",하,식물 모든 부분,상대습도 증가와 음이온 발생량이 많은 식물로 거실에 두면 건조한 계절에 실내 습도를 높 이는 천연 가습효과를 기대할 수 있다.,,
행운목 와르네케이,Dracaena fragrans 'Warneckei',"Striped Dracaena, Dragon Tree","아프라카 열대지역이 원산지인 행운목 '와르네케이'는 잎색 이 녹색, 연두색, 노란색, 흰색 등 다양할 뿐만 아니라 잎의 줄무늬가 특징인 관엽식물이다. 낮은 광도에서도 잘 자라고 실내공기 오염물질을 효과적으로 제거하기 때문에 실내조 경에 자주 사용한다. 보통 가정이나 사무실에서는 1m 안팎 으로 자라지만 환경이 좋으면 3m까지 자란다. 독성이 있어 애완동물이 있으면 주의한다. 배수성이 좋은 용토에서 잘 자라고, 수경재배를 할 수 있다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 여름 에는 다습한 환경을 좋아한다. 겨울에는 화분흙이 대부분 말 랐을 때 충분히 물을 주는데 실내온도와 비슷한 온도의 물 을 주는 것이 좋다.",직사광선을 피하고 잎에 자주 분무한다. 온도가 너무 낮거나 습도 높을 경우 뿌리썩음병이 발생할 수 있다. 공중습도가 너무 건조하면 해충이 발생한다. 잎이 갈변하면 가위로 잎 끝을 잘라 정상적인 잎 모양으로 잘 다듬어 준다.,백합과,16~24℃ (최저 13℃),반음지,낮거나 보통,"벤젠 등 다양한 공기오염물질 제거, 음이온 발생, 상대습도 증가","응애, 깍지벌레",하,식물 모든 부분,"뿌리가 많이 발달하지 않아 휘발성 유기화합물 제거 능력이 낮은 편이다. 그러나 음이온 발 생량이 많고, 실내습도 조절이 가능한 큰 식물로 거실에 두면 건조한 계절에 실내습도를 높 일 수 있다.",,
마지나타 드라세나,Dracaena reflexa var. angustifolia,"Madagascar dragon tree, Red edged Dracaena","마지나타 드라세나는 1960년대 초에 처음 실내식물로 재배 되기 시작하였다. 환경 적응력이 뛰어나 실내 환경에 잘 적 응하고 키우기가 쉬워 많이 알려진 품종이다. 곧은 가지 끝 에 길고 가느다란 잎이 다발형태로 자라고 광택이 나는 잎의 가장자리에 붉은색으로 띠가 있는 것이 특징이다. 다양한 공 기오염물질을 제거하고 병충해에 강하지만, 겨울철에 난방 등으로 실내가 지나치게 건조하면 충해가 발생할 수 있다. 꺾꽂이, 포기나누기 등으로 번식할 수 있으며 수경재배로 도 잘 자란다.","봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고, 겨울 에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.",직사광선을 피하고 잎에 자주 분무한다. 너무 건조하면 해충이 발생한다.,백합과,16~24℃ (최저 13℃),반양지~반음지,보통,크실렌 등 다양한 공기오염 물질 제거,응애,하,,"마지나타 드라세나는 실내 환경에 잘 적응하고 튼튼하여 건물 로비나 현관, 공공건물의 아 트리움 등에 배치하면 좋다.",,
산데리아나 드라세나,Dracaena sanderiana,Ribbon plant,"일반적으로 드라세나종은 햇빛이 너무 강하거나 혹은 하루 종일 어두운 곳만 아니라면 어디서든 잘 자란다. 그러나 종 류에 따라 상대적으로 빛을 선호하거나 그렇지 않은 경우가 있는데, 산데리아나는 빛을 선호하는 편이다. 한낮의 직사광 선은 피하고 3시간 정도는 햇빛을 볼 수 있는 장소에 배치 하는 것이 좋다. 그렇지 않으면 잎의 밝은 부분 선명도가 점 차 떨어지게 된다. 실내 습도가 낮으면 잎 끝이 마르므로 3~4일에 한 번씩 잎에 분무를 해주면 좋다. 독성이 있으므로 어린아이나 애완동물의 주의가 필요하다.",겨울철에 찬 수돗물은 잎을 노랗게 변하게 하므로 하루쯤 받 아 둔 물을 준다. 실내가 건조할 때 잎에 분무하면 잎도 싱싱 해지고 병충해 피해도 줄일 수 있다.,직사광선 피하고 건조할 때 잎에 자주 분무한다.,백합과,21~25℃ (최저 13℃),"반양지, 반음지",보통,공기정화,"응애, 깍지벌레, 총채벌레",하,식물 모든 부분,,"드라세나속(Dracaena) 문제 발생시 ▶ 잎 끝이 갈색이고 잎 가장자리가 노랗게 변할 때: 1) 공기가 너무 건조할 경우. 드라세나속 식물은 촉촉한 토양과 공중습도가 높은 것을 좋아 하므로 주기적으로 분무 2) 냉풍, 건조한 환경 및 물을 적게 주었을 경우 3) 뿌리가 건조함이 원인일 경우로 잎에 갈색 반점이 동반함 ▶ 잎 가장자리가 갈색이고, 잎이 말리고 연해질 때: 온도가 매우 낮은 경우로 갑자기 이런 문제가 발생하면 겨울철 저녁에 화분을 창문 가까이 두지 않도록 함 ▶ 나뭇잎이 노란색으로 변한 다음 떨어질 때: 생물학적으로 잎의 수명이 정해져 있기 때문에 잎의 노화하는 자연스러운 현상임. 각각의 잎이 노랗게 변하고 약 2년 후에 고사함 ▶ 갈색 점이 잎에 나타날 때: 물을 적게 줄 경우로 토양을 촉촉하게 유지해야 함 ▶ 식물이 고사할 때: (1) 겨울에 물을 많이 줄 경우 (2) 식물이 너무 추운 장소에 있을 경우 ▶ 잎이 변색되고 마르는 부분이 생길 때: 과도한 빛 때문으로 그늘진 곳으로 이동시킴",
스킨답서스,Epipremnum aureum,Pothos Golden,실내식물 중에서 관리가 쉽고 잘 자라는 식물로 병해충에 대한 강한 저항력과 공기 정화 능 력을 가지고 있다. 여러 무늬종들이 있으며 밝은 형광 색상의 잎을 가진 라임스킨답서스(Epipremnum aureum 'Neon')가 경쾌한 느낌으로 인기가 많다. 반음지에서 잘 자라며 겨울철에는 충분한 빛을 주고 물은 적게 준다. 수경재배가 가능하여 줄기를 잘라 물꽂이하여 재배한다. 칼슘옥살레이트 성분을 가지고 있어 애완동물에게는 독성이 있고 인체 피부나 점막을 자 극할 수 있으니 유의한다.,봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고 겨울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.,"약 40m 길이까지 자랄 수 있는 덩굴성이고, 줄기 끝을 잘라주면 길이 생장은 지연되지만 잎 이 많이 나와 풍성해진다. 다른 식물의 생장을 방해하는 덩굴은 제거한다. 뿌리가 과습하여 생기는 뿌리썩음병을 조심한다.",두릅나무과,16~20 ℃ (최저 5 ℃),반양지,"보통, 잎에 자주 분무","공기정화, 음이온·습도 발생량 많음, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,식물 모든 부분,"일산화탄소 제거 기능이 우수하고 어두운 곳에서도 잘 적응 하기 때문에 주방의 기능성 식물로 알려졌다. 벽이나 기둥을 타고 오르게 할 수 있고, 걸이화분을 활용하도 좋다.","▶ 잎이 노랗게 변하고 떨어질 때, 줄기가 썩을 때: 겨울에 물을 너무 많이 주었을 경우로 토양이 과습한 환경 은 좋지 않음 ▶ 잎 끝이 갈변하고 쪼그라들 때: 공기가 너무 건조한 것이 원인. 주기적으로 잎에 분무 ▶ 잎 끝이 갈변하거나 잎 표면의 갈색 반점 원인: 성장기에 물을 적게 줄 때임. 물은 토양 표면이 말랐을 때 주는 정도로 주기를 정하고 뿌리가 마르지 않도록 해야 함",
라임 스킨답서스,Epipremnum aureum 'Neon',Devil's ivy,실내식물 중에서 관리가 쉽고 잘 자라는 식물로 병해충에 대한 강한 저항력과 공기 정화 능 력을 가지고 있다. 여러 무늬종들이 있으며 밝은 형광 색상의 잎을 가진 라임스킨답서스(Epipremnum aureum 'Neon')가 경쾌한 느낌으로 인기가 많다. 반음지에서 잘 자라며 겨울철에는 충분한 빛을 주고 물은 적게 준다. 수경재배가 가능하여 줄기를 잘라 물꽂이하여 재배한다. 칼슘옥살레이트 성분을 가지고 있어 애완동물에게는 독성이 있고 인체 피부나 점막을 자 극할 수 있으니 유의한다.,봄~가을에는 토양 표면이 말랐을 때 충분히 물을 주고 겨울에는 화분흙이 대부분 말랐을 때 충분히 물을 준다.,"약 40m 길이까지 자랄 수 있는 덩굴성이고, 줄기 끝을 잘라주면 길이 생장은 지연되지만 잎 이 많이 나와 풍성해진다. 다른 식물의 생장을 방해하는 덩굴은 제거한다. 뿌리가 과습하여 생기는 뿌리썩음병을 조심한다.",두릅나무과,16~20 ℃ (최저 5 ℃),반양지,"보통, 잎에 자주 분무","공기정화, 음이온·습도 발생량 많음, 톨루엔·포름알데히드 제거","응애, 깍지벌레",하,식물 모든 부분,"일산화탄소 제거 기능이 우수하고 어두운 곳에서도 잘 적응 하기 때문에 주방의 기능성 식물로 알려졌다. 벽이나 기둥을 타고 오르게 할 수 있고, 걸이화분을 활용하도 좋다.","▶ 잎이 노랗게 변하고 떨어질 때, 줄기가 썩을 때: 겨울에 물을 너무 많이 주었을 경우로 토양이 과습한 환경 은 좋지 않음 ▶ 잎 끝이 갈변하고 쪼그라들 때: 공기가 너무 건조한 것이 원인. 주기적으로 잎에 분무 ▶ 잎 끝이 갈변하거나 잎 표면의 갈색 반점 원인: 성장기에 물을 적게 줄 때임. 물은 토양 표면이 말랐을 때 주는 정도로 주기를 정하고 뿌리가 마르지 않도록 해야 함",
사철나무,Euonymus japonicus 'Ovatus Aureus',Spindle Tree Japanese,"한국, 일본 등지에 분포한다. 원예종으로 잎 색상이 화려하 여 화분, 정원수, 꽃꽂이 소재 등으로 많이 사용한다. 번식은 종자나 꺾꽂이로 한다",겉흙이 말랐을 때 물을 충분히 준다.,직사광선을 피한다.,노박덩굴과,16~20℃ (최저 0℃),반양지,보통,공기정화,"응애, 깍지벌레",하,,,,
스플렌덴스 꽃기린,Euphorbia milii var. splendens,"Christ's Thorn, Crown of Thorns","꽃이 솟아 오른 모양이 기린을 닮았다고 하여 꽃기린이라는 이름이 붙었다. 빨간색, 연노란색, 흰색, 주황색 등 꽃 색상이 다양해 취향에 따라 선택할 수 있다. 줄기에 홈이 있고 날카 로운 가시로 덮여있어 가시에 주의해야 한다. 파종과 꺾꽂이로 번식하는데 보통 봄에 하는 것이 좋다. 꺾꽂이를 할 때 절단면에서 흐르는 흰색 액체를 깨끗이 씻어 낸 후 흙에 꽂으면 된다.",화분흙이 마르면 물을 충분히 준다. 겨울은 다른 계절에 비 해 적게 물을 준다. 건조에 강하다.,"가지치기를 하지 않으면 웃자라 주변 식물의 생장에 영향을 준다. 저온과 건조 상태에서는 잎이 떨어지는 현상이 있어 수분을 연중 유지해야 한다. 용토는 모래와 부엽(피트모스) 등을 배합하여 배수성과 보 수성이 좋게한다. 분갈이는 봄에 필요한 경우에 실시한다. 추위에 강해 3~5℃에서 월동이 가능하나, 겨울철에도 개화를 계속시키고자 할 때에는 10℃ 이상 보온이 필요하다. 일년내내 꽃을 피우는 성질 이 강하나 빛이 부족하거나 저온과 건조에서는 낙 엽이 지고 개화가 불량해진다.",대극과,18~25℃ (최저 7℃),"양지, 반양지",낮거나 보통,음이온 방출,"응애, 총채벌레, 깍지벌레",중,흰색 수액에 독성 함유,"다육식물은 난과식물, 파인애플과 식물과 마찬가 지로 밤에 이산화탄소를 흡수하므로 꽃이 피었을 때는 햇빛이 잘 드는 침실에 두면 좋다. 햇볕이 잘 드는 곳에 키우면 튼튼하게 자라고 꽃도 오래 감 상할 수 있다.",,
